text,label
"Meeting at 5 PM today. Please join.",0
"Invoice attached for last month.",0
"Your Amazon order has shipped.",0
"Family dinner on Sunday.",0
"Project update attached.",0
"Please review the document and share feedback.",0
"Reminder about tomorrow’s standup meeting.",0
"Let’s catch up over coffee next week.",0
"The report has been finalized.",0
"Budget discussion scheduled for Monday.",0
"Thanks for your quick response.",0
"Please see the attached presentation.",0
"Looking forward to our meeting.",0
"Your appointment is confirmed.",0
"Team lunch planned for Friday.",0
"Please update the spreadsheet.",0
"Quarterly review meeting notes.",0
"Can you send the files today?",0
"Follow up on previous discussion.",0
"Happy birthday! Have a great day.",0
"Your order has been delivered.",0
"Monthly performance summary attached.",0
"Please approve the request.",0
"Meeting rescheduled to 3 PM.",0
"Client feedback received.",0
"Here is the updated version.",0
"Thank you for your support.",0
"Weekly progress update.",0
"Travel itinerary attached.",0
"Please find the receipt attached.",0
"Deadline extended by two days.",0
"Let me know if you have questions.",0
"Training session starts tomorrow.",0
"Notes from today’s call.",0
"Reminder to submit timesheet.",0
"Project kickoff meeting invite.",0
"Agenda for tomorrow’s meeting.",0
"Your subscription renewal confirmation.",0
"Please review and approve.",0
"Team meeting canceled today.",0
"Internal policy update.",0
"Here are the meeting minutes.",0
"Your package will arrive today.",0
"Thanks for attending the session.",0
"Please share your availability.",0
"System maintenance scheduled tonight.",0
"Updated task assignments.",0
"Monthly newsletter.",0
"Invoice payment received.",0
"Discussion summary attached.",0
"Your feedback is appreciated.",0
"Reminder: office closed tomorrow.",0
"Please confirm receipt.",0
"Draft proposal attached.",0
"Team performance highlights.",0
"Schedule confirmation.",0
"Meeting notes from yesterday.",0
"Document version updated.",0
"Please see comments inline.",0
"Request approved successfully.",0
"Your ticket has been resolved.",0
"Weekly planning reminder.",0
"Summary of action items.",0
"Your password was changed.",0
"Internal announcement.",0
"Report submission confirmation.",0
"Follow-up email.",0
"Thank you for your time.",0
"Office hours reminder.",0
"Updated project timeline.",0
"Can we reschedule our call?",0
"Notes from the workshop.",0
"Your profile has been updated.",0
"Reminder about policy training.",0
"Draft agenda attached.",0
"Please verify meeting time.",0
"Action items from meeting.",0
"Your order confirmation.",0
"Weekly status report.",0
"Let’s sync up tomorrow.",0
"Files uploaded successfully.",0
"Request received.",0
"Updated documentation attached.",0
"Feedback request.",0
"Team availability poll.",0
"Meeting link updated.",0
"Your response is required.",0
"Internal review completed.",0
"Travel request approved.",0
"Thanks for the update.",0
"Reminder: submit report.",0
"System update notification.",0
"Final version attached.",0
"Please acknowledge receipt.",0
"Planning meeting reminder.",0
"Task completed successfully.",0
"Meeting follow-up.",0
"Your schedule has been updated.",0
"Thank you for your cooperation.",0
"Invoice processed successfully.",0
"Project files shared.",0
"Discussion points attached.",0
"Your attendance is confirmed.",0
"Office reopening notice.",0
"Training materials attached.",0
"Request status update.",0
"Weekly summary.",0
"Meeting invitation.",0
"Updated contact details.",0
"Please review the attached file.",0
"Internal audit notice.",0
"Calendar invite sent.",0
"Your feedback was received.",0
"Project status update.",0
"Team reminder.",0
"Notes attached for reference.",0
"Action required: review document.",0
"Meeting postponed.",0
"Shared drive access granted.",0
"Thank you email.",0
"Monthly update.",0
"Please join the call.",0
"Reminder: deadline approaching.",0
"Summary report attached.",0
"Your submission was successful.",0
"Meeting agenda shared.",0
"Team coordination update.",0
"Your request is under review.",0
"Updated process guidelines.",0
"Follow-up required.",0
"Office meeting reminder.",0
"Please confirm your availability.",0
"Document shared with you.",0
"Project discussion summary.",0
"Internal memo.",0
"Team announcement.",0
"Updated pricing document.",0
"Reminder: submit feedback.",0
"Meeting recording attached.",0
"Your inquiry has been answered.",0
"Thanks for the clarification.",0
"Weekly planning notes.",0
"Project closure update.",0
"Team outing confirmation.",0
"Updated checklist attached.",0
"Meeting time changed.",0
"Internal training notice.",0
"Status update requested.",0
"Your message was received.",0
"Monthly summary attached.",0
"Project handover document.",0
"Office maintenance notice.",0
"Please review and respond.",0
"Follow-up meeting scheduled.",0
"Internal system notice.",0
"Agenda updated.",0
"Your access has been granted.",0
"Team alignment meeting.",0
"Reminder: upcoming holiday.",0
"Updated workflow shared.",0
"Meeting minutes attached.",0
"Thank you for confirming.",0
"Project resources shared.",0
"Your participation is appreciated.",0
"Internal update email.",0
"Request closed successfully.",0
"Team update for the week.",0
"Please find details below.",0
"Final reminder email.",0
